Level,Date,Time,Source,Event_ID,Task_Category
Information,2020-08-09,13:34:00,Windows Error Reporting,1001,None
Warning,2020-08-09,13:32:00,ESENT,642,General
Warning,2020-08-09,13:32:00,ESENT,642,General
Information,2020-08-09,13:24:00,gupdate,0,None
Information,2020-08-09,12:46:00,Windows Error Reporting,1001,None
Warning,2020-08-09,12:40:00,ESENT,642,General
Warning,2020-08-09,12:40:00,ESENT,642,General
Warning,2020-08-09,12:40:00,ESENT,642,General
Warning,2020-08-09,12:40:00,ESENT,642,General
Information,2020-08-09,11:41:00,Security-SPP,16384,None
Information,2020-08-09,11:41:00,Security-SPP,16394,None
Warning,2020-08-09,10:01:00,ESENT,642,General
Warning,2020-08-09,10:01:00,ESENT,642,General
Warning,2020-08-09,10:01:00,ESENT,642,General
Warning,2020-08-09,10:01:00,ESENT,642,General
Information,2020-08-09,09:52:00,Security-SPP,16384,None
Information,2020-08-09,09:52:00,Security-SPP,16394,None
Warning,2020-08-09,08:59:00,ESENT,642,General
Warning,2020-08-09,08:59:00,ESENT,642,General
Information,2020-08-09,08:59:00,ESENT,330,General
Warning,2020-08-09,08:59:00,ESENT,642,General
Information,2020-08-09,08:59:00,ESENT,326,General
Information,2020-08-09,08:59:00,ESENT,641,General
Information,2020-08-09,08:59:00,ESENT,330,General
Warning,2020-08-09,08:59:00,ESENT,642,General
Information,2020-08-09,08:59:00,ESENT,105,General
Information,2020-08-09,08:59:00,ESENT,302,Logging/Recovery
Information,2020-08-09,08:59:00,ESENT,301,Logging/Recovery
Information,2020-08-09,08:59:00,ESENT,330,General
Warning,2020-08-09,08:59:00,ESENT,642,General
Information,2020-08-09,08:59:00,ESENT,300,Logging/Recovery
Information,2020-08-09,08:59:00,ESENT,102,General
Information,2020-08-09,08:40:00,Security-SPP,16384,None
Information,2020-08-09,08:39:00,Security-SPP,16394,None
Information,2020-08-09,08:24:00,Security-SPP,16384,None
Information,2020-08-09,08:24:00,gupdate,0,None
Information,2020-08-09,08:24:00,Security-SPP,16394,None
Information,2020-08-09,08:22:00,gupdate,0,None
Information,2020-08-09,08:22:00,Security-SPP,16384,None
Warning,2020-08-09,08:21:00,ESENT,642,General
Warning,2020-08-09,08:21:00,ESENT,642,General
Information,2020-08-09,08:21:00,igfxCUIService2.0.0.0,0,None
